Algorithm: FastMap
Target dimensions: 3
Pivots per dimension:
Dim 1: 8486 8113
Dim 2: 2182 2996
Dim 3: 8423 5544
Object coordinates:
624: 66.7261 54.3985 129.347 
625: 62.1367 113.16 106.697 
626: 139.062 102.549 102.088 
627: 75.2821 98.065 54.5797 
628: 66.816 115.512 99.9309 
629: 55.329 98.3012 87.0525 
630: 107.878 69.3252 83.6675 
631: 53.106 67.8026 54.1413 
632: 88.9178 120.044 89.9012 
633: 86.5665 66.0181 76.738 
634: 75.518 151.468 96.8881 
635: 73.5473 100.561 91.6007 
636: 105.487 98.6506 77.4868 
637: 78.3012 154.653 85.4082 
638: 65.4792 124.77 123.98 
639: 75.0718 100.707 125.868 
640: 78.9217 30.5379 71.2019 
641: 113.019 86.0471 150.09 
642: 68.78 90.7565 96.039 
643: 87.2528 129.989 93.2497 
644: 55.4456 138.058 68.1118 
645: 86.7302 67.1898 114.66 
646: 71.7504 83.4837 135.208 
647: 92.7147 70.8272 103.128 
648: 81.0452 39.1583 115.64 
649: 127.47 115.077 53.0262 
650: 17.0708 96.1246 109.097 
651: 86.2554 125.799 173.014 
652: 19.62 136.31 73.5738 
653: 142.584 109.142 112.804 
654: 106.372 83.4411 114.3 
655: 90.6233 123.499 153.166 
656: 47.2798 98.4675 113.35 
657: 89.7232 131.155 86.6733 
658: 98.3731 54.3442 132.381 
659: 123.415 138.883 94.3265 
660: 102.041 44.9495 128.69 
661: 39.682 95.6056 54.1758 
662: 154.827 91.5328 71.706 
663: 36.76 126.118 132.9 
664: 61.8091 87.9918 104.166 
665: 71.9534 77.4813 73.7768 
666: 106.226 36.9944 107.513 
667: 93.6993 53.1226 134.896 
668: 131.104 120.323 146.21 
669: 73.9846 80.9422 69.2201 
670: 115.43 43.7089 109.145 
671: 54.4982 122.869 143.853 
672: 119.209 109.085 143.427 
673: 30.5067 97.1576 110.305 
674: 79.1791 80.1096 128.306 
675: 33.2213 117.241 61.0958 
676: 62.5846 88.1072 100.98 
677: 86.5016 68.8324 118.09 
678: 137.348 128.85 104.56 
679: 50.2353 86.8685 88.9567 
680: 63.3631 101.663 136.847 
681: 123.21 103.821 124.199 
682: 112.701 41.0424 88.0844 
683: 76.3874 131.572 111.73 
684: 96.4896 114.082 48.7143 
685: 92.9322 78.6467 131.53 
686: 76.6217 77.6402 92.8762 
687: 66.54 92.8098 91.0069 
688: 134.688 62.8964 124.219 
689: 122.932 74.4234 84.4531 
690: 114.128 93.3666 143.149 
691: 71.1135 129.523 62.5419 
692: 70.2027 106.734 136.75 
693: 87.8632 109.146 70.826 
694: 113.333 121.359 138.635 
695: 77.0694 100.752 104.521 
696: 58.1696 75.6721 152.53 
697: 59.4294 75.6179 91.8515 
698: 77.624 132.716 130.296 
699: 79.5856 110.171 109.746 
700: 92.7038 122.759 138.896 
701: 99.4098 103.285 157.677 
702: 104.426 63.8476 93.2494 
703: 97.1301 130.361 118.828 
704: 95.5356 107.912 171.078 
705: 111.989 105.203 92.9302 
706: 130.643 84.218 121.66 
707: 79.7054 169.509 77.2135 
708: 78.4243 85.2736 132.305 
709: 71.775 40.5705 82.8938 
710: 70.9406 117.895 64.211 
711: 112.892 117.505 115.32 
712: 124.591 66.3188 93.4158 
713: 41.4204 63.2055 73.2778 
714: 111.887 135.546 108.741 
715: 103.717 159.203 77.4127 
716: 76.4013 113.23 107.631 
717: 92.2737 42.4017 107.224 
718: 60.7647 110.955 47.4894 
719: 43.2987 90.3426 83.5226 
720: 87.0748 139.838 64.8364 
721: 94.8577 135.97 91.8439 
722: 93.0194 95.2911 70.0493 
723: 44.6303 61.4462 74.3284 
724: 74.8217 37.5047 50.4288 
725: 79.5324 66.853 69.0656 
726: 114.838 61.0249 46.3569 
727: 114.615 107.753 94.4453 
728: 127.971 144.325 110.51 
729: 91.7317 54.8137 97.5526 
730: 105.215 59.5621 129.993 
731: 62.1758 80.298 61.5229 
732: 109.855 71.0668 72.6007 
733: 85.5044 135.634 53.0319 
734: 106.563 109.883 92.8251 
735: 139.932 59.6326 78.3108 
736: 43.4104 71.628 67.8976 
737: 102.174 63.394 133.907 
738: 100.35 98.7537 135.231 
739: 94.4254 89.2352 69.9216 
740: 92.649 129.903 82.7207 
741: 16.876 124.684 76.0675 
742: 61.1556 124.387 98.9289 
743: 52.8588 75.9486 124.187 
744: 104.722 102.116 20.4086 
745: 104.535 79.7555 133.758 
746: 94.472 115.656 40.4702 
747: 27.2233 76.3625 79.5396 
748: 97.03 104.504 121.962 
749: 112.556 114.104 127.674 
750: 77.6183 118.709 104.652 
751: 109.669 134.65 110.656 
752: 67.5457 52.5577 49.0399 
753: 79.5261 129.991 101.892 
754: 124.35 98.7827 79.0395 
755: 84.0558 103.027 35.8541 
756: 89.4589 85.2161 117.308 
757: 128.102 143.901 112.762 
758: 90.356 143.507 124.376 
759: 59.8273 94.0271 84.7425 
760: 72.1189 87.285 75.2597 
761: 120.259 72.9095 78.0812 
762: 37.9708 67.0792 72.796 
763: 106.261 121.65 109.139 
764: 97.192 58.658 97.8808 
765: 84.39 129.369 147.756 
766: 81.2267 91.7438 128.295 
767: 96.4041 71.8177 107.919 
768: 130.748 113.358 71.0504 
769: 112.718 146.589 80.018 
770: 92.796 115.881 100.299 
771: 121.414 131.237 70.8718 
772: 67.061 126.203 109.737 
773: 75.9417 113.594 175.619 
774: 76.6981 69.8217 80.075 
775: 85.1718 69.1489 97.5742 
776: 87.228 121.527 38.6795 
777: 115.659 156.834 77.3302 
778: 101.302 102.487 34.3617 
779: 61.0556 98.0184 75.6451 
780: 102.664 59.7677 142.041 
781: 95.3479 86.4669 88.1088 
782: 128.793 67.8462 154.556 
